Sample_Name	chao1	dominance	goods_coverage	observed_features	pielou_e	shannon	simpson
A1b	1838.140	0.003	0.995	1787	0.889	9.606	0.997
A2b	1734.120	0.003	0.996	1677	0.887	9.502	0.997
A3b	2113.366	0.003	0.992	1994	0.886	9.709	0.997
A4b	1836.045	0.003	0.995	1784	0.889	9.601	0.997
A5b	1905.508	0.003	0.995	1847	0.893	9.693	0.997
A6b	1928.249	0.004	0.995	1868	0.883	9.597	0.996
A7b	1807.469	0.006	0.995	1766	0.862	9.293	0.994
A8b	1924.673	0.004	0.995	1881	0.882	9.591	0.996
A9b	1985.219	0.005	0.994	1927	0.869	9.485	0.995
A10b	1959.597	0.005	0.994	1893	0.875	9.523	0.995
A11b	1934.339	0.004	0.995	1876	0.876	9.530	0.996
A12b	1827.196	0.007	0.995	1779	0.856	9.238	0.993
A13b	1956.129	0.004	0.995	1906	0.875	9.532	0.996
A14b	1954.505	0.004	0.993	1863	0.881	9.569	0.996
A15b	1964.619	0.004	0.994	1909	0.879	9.576	0.996
A16b	1860.006	0.003	0.995	1806	0.890	9.630	0.997
B1b	1761.571	0.006	0.995	1702	0.878	9.418	0.994
B2b	1972.004	0.006	0.995	1921	0.869	9.479	0.994
B3b	1971.278	0.004	0.994	1911	0.881	9.601	0.996
B4b	1868.500	0.006	0.995	1809	0.869	9.399	0.994
B5b	1895.031	0.004	0.995	1840	0.881	9.556	0.996
B6b	2128.095	0.005	0.994	2081	0.867	9.562	0.995
B7b	1838.589	0.006	0.995	1797	0.863	9.334	0.994
B8b	1858.799	0.009	0.994	1798	0.837	9.051	0.991
B9b	1903.514	0.004	0.994	1839	0.880	9.547	0.996
B10b	1905.479	0.005	0.995	1849	0.872	9.465	0.995
B11b	1848.567	0.006	0.995	1802	0.866	9.362	0.994
B12b	1867.880	0.005	0.995	1815	0.871	9.433	0.995
B13b	1958.142	0.004	0.994	1899	0.874	9.519	0.996
B14b	1886.639	0.004	0.995	1830	0.878	9.513	0.996
B15b	2093.147	0.004	0.993	2007	0.878	9.633	0.996
B16b	1871.709	0.005	0.995	1816	0.862	9.337	0.995
C1b	2097.224	0.002	0.994	2040	0.898	9.874	0.998
C2b	1993.114	0.003	0.995	1945	0.894	9.772	0.997
C3b	1966.829	0.003	0.995	1923	0.881	9.614	0.997
C4b	1934.466	0.004	0.995	1887	0.872	9.491	0.996
C5b	1828.812	0.005	0.995	1781	0.870	9.395	0.995
C6b	1855.293	0.004	0.995	1796	0.870	9.406	0.996
C7b	1843.000	0.003	0.995	1800	0.887	9.596	0.997
C8b	1931.814	0.004	0.994	1865	0.884	9.609	0.996
C9b	1903.235	0.003	0.995	1857	0.889	9.658	0.997
C10b	1872.728	0.003	0.995	1815	0.889	9.624	0.997
C11b	2046.751	0.003	0.994	1984	0.890	9.745	0.997
C12b	1818.757	0.005	0.996	1784	0.864	9.332	0.995
C13b	1900.096	0.004	0.995	1847	0.876	9.503	0.996
C14b	1874.827	0.005	0.995	1833	0.870	9.431	0.995
C15b	1973.449	0.003	0.995	1918	0.895	9.761	0.997
C16b	2141.232	0.002	0.995	2090	0.896	9.884	0.998
D1b	1918.028	0.003	0.994	1861	0.884	9.606	0.997
D2b	2033.252	0.003	0.994	1982	0.888	9.725	0.997
D3b	1966.697	0.004	0.994	1904	0.881	9.599	0.996
D4b	1796.307	0.004	0.995	1746	0.875	9.423	0.996
D5b	1914.015	0.003	0.995	1864	0.890	9.670	0.997
D6b	1845.548	0.004	0.995	1805	0.874	9.459	0.996
D7b	1809.457	0.003	0.996	1772	0.898	9.686	0.997
D8b	1922.241	0.004	0.995	1879	0.878	9.544	0.996
D9b	1909.479	0.005	0.995	1860	0.870	9.447	0.995
D10b	1144.000	0.009	1.000	1144	0.856	8.698	0.991
D11b	1766.484	0.008	0.995	1721	0.848	9.116	0.992
D12b	1817.005	0.003	0.995	1777	0.883	9.529	0.997
D13b	1936.148	0.003	0.994	1873	0.890	9.675	0.997
D14b	1485.657	0.003	0.999	1481	0.899	9.468	0.997
D15b	1893.774	0.003	0.995	1846	0.895	9.708	0.997
D16b	1843.417	0.003	0.996	1807	0.895	9.680	0.997
E1b	1941.081	0.004	0.994	1873	0.884	9.612	0.996
E2b	1441.270	0.008	0.999	1436	0.861	9.033	0.992
E3b	2407.500	0.003	0.990	2299	0.877	9.795	0.997
E4b	1456.750	0.005	0.997	1426	0.871	9.131	0.995
E5b	2039.326	0.003	0.994	1986	0.876	9.595	0.997
E6b	1736.391	0.004	0.996	1702	0.878	9.420	0.996
E7b	2003.004	0.004	0.994	1946	0.874	9.550	0.996
E8b	1833.571	0.005	0.995	1788	0.870	9.405	0.995
E9b	1840.618	0.005	0.995	1790	0.866	9.354	0.995
E10b	1800.735	0.006	0.995	1754	0.862	9.290	0.994
E11b	1722.872	0.004	0.996	1673	0.886	9.482	0.996
E12b	1766.669	0.005	0.995	1712	0.871	9.354	0.995
E13b	1539.644	0.003	0.998	1534	0.889	9.411	0.997
E14b	1937.049	0.003	0.995	1883	0.884	9.621	0.997
E15b	1621.437	0.003	0.997	1579	0.893	9.492	0.997
E16b	1332.500	0.003	0.999	1324	0.899	9.320	0.997
F1b	1763.122	0.003	0.996	1731	0.885	9.520	0.997
F2b	2335.616	0.003	0.991	2207	0.884	9.822	0.997
F3b	1861.234	0.003	0.995	1816	0.885	9.576	0.997
F4b	1381.129	0.004	0.999	1376	0.891	9.292	0.996
F5b	2402.000	0.003	0.991	2270	0.889	9.916	0.997
F6b	1858.039	0.003	0.995	1809	0.888	9.613	0.997
F7b	1573.511	0.004	0.997	1528	0.890	9.411	0.996
F8b	1344.294	0.004	0.999	1337	0.895	9.291	0.996
F9b	1666.393	0.011	0.996	1621	0.837	8.926	0.989
F10b	1979.062	0.003	0.994	1906	0.882	9.612	0.997
F11b	1914.953	0.003	0.995	1858	0.890	9.669	0.997
F12b	1855.778	0.004	0.995	1819	0.876	9.485	0.996
F13b	1787.888	0.002	0.995	1735	0.897	9.653	0.998
F14b	1530.679	0.002	0.998	1522	0.910	9.617	0.998
F15b	2061.483	0.002	0.994	1995	0.899	9.854	0.998
F16b	2080.764	0.003	0.994	2017	0.894	9.819	0.997
