Sample_Name	chao1	dominance	goods_coverage	observed_features	pielou_e	shannon	simpson
G1b	1579.167	0.003	0.999	1570	0.887	9.414	0.997
G2b	2292.746	0.003	0.997	2242	0.886	9.860	0.997
G3b	1799.839	0.004	0.998	1786	0.881	9.519	0.996
G4b	1641.776	0.005	0.999	1633	0.868	9.262	0.995
G5b	1368.782	0.003	1.000	1366	0.896	9.328	0.997
G6b	1710.189	0.003	0.999	1702	0.894	9.599	0.997
G7b	2044.615	0.002	0.997	2010	0.894	9.815	0.998
G8b	2010.093	0.003	0.997	1961	0.898	9.818	0.997
G9b	1880.914	0.003	0.999	1875	0.886	9.629	0.997
G10b	1706.256	0.004	0.999	1699	0.888	9.529	0.996
G11b	1808.070	0.004	0.999	1800	0.885	9.574	0.996
G12b	1668.940	0.005	0.999	1664	0.864	9.249	0.995
G13b	1886.482	0.003	0.998	1877	0.882	9.587	0.997
G14b	1775.343	0.003	0.999	1770	0.890	9.599	0.997
G15b	2200.870	0.002	0.997	2156	0.894	9.899	0.998
G16b	1883.250	0.002	0.997	1815	0.898	9.719	0.998
H1b	1810.065	0.003	0.998	1767	0.893	9.636	0.997
H2b	1622.151	0.003	0.999	1614	0.896	9.544	0.997
H3b	1908.150	0.003	0.999	1899	0.888	9.670	0.997
H4b	1835.481	0.004	0.999	1829	0.878	9.515	0.996
H5b	1878.167	0.003	0.999	1869	0.889	9.659	0.997
H6b	2192.164	0.004	0.997	2142	0.881	9.752	0.996
H7b	1452.000	0.003	1.000	1452	0.893	9.384	0.997
H8b	1729.899	0.005	0.999	1721	0.866	9.314	0.995
H9b	1979.923	0.003	0.998	1955	0.888	9.713	0.997
H10b	1909.800	0.003	0.999	1901	0.893	9.724	0.997
H11b	1844.483	0.003	0.999	1838	0.886	9.610	0.997
H12b	1898.326	0.003	0.998	1887	0.893	9.716	0.997
H13b	1905.396	0.003	0.999	1895	0.892	9.711	0.997
H14b	1816.964	0.003	0.999	1811	0.887	9.598	0.997
H15b	1680.888	0.002	0.999	1676	0.906	9.700	0.998
H16b	1918.289	0.003	0.999	1912	0.885	9.645	0.997
