Sample_Name	chao1	dominance	goods_coverage	observed_features	pielou_e	shannon	simpson
A2f	334.897	0.062	0.999	329	0.660	5.518	0.938
A7f	358.676	0.063	0.999	355	0.657	5.566	0.937
A11f	418.977	0.050	0.998	403	0.680	5.883	0.950
A14f	509.092	0.051	0.997	480	0.663	5.906	0.949
B2f	613.076	0.030	0.997	577	0.712	6.532	0.970
B7f	461.977	0.094	0.997	409	0.617	5.353	0.906
B11f	583.792	0.035	0.997	541	0.686	6.229	0.965
B14f	686.392	0.048	0.995	585	0.672	6.173	0.952
C2f	681.068	0.028	0.996	622	0.706	6.554	0.972
C7f	609.491	0.025	0.998	588	0.749	6.889	0.975
C11f	644.000	0.018	0.997	614	0.759	7.027	0.982
C14f	511.000	0.028	0.998	484	0.712	6.348	0.972
D2f	437.064	0.032	0.998	411	0.698	6.064	0.968
D7f	495.568	0.039	0.999	485	0.707	6.310	0.961
D11f	580.444	0.030	0.998	556	0.712	6.492	0.970
D14f	565.105	0.023	0.998	540	0.740	6.714	0.977
E2f	568.655	0.038	0.997	526	0.684	6.183	0.962
E7f	545.622	0.032	0.998	527	0.716	6.478	0.968
E11f	587.444	0.025	0.998	563	0.727	6.641	0.975
E14f	464.368	0.037	0.998	447	0.685	6.029	0.963
F2f	540.342	0.036	0.998	520	0.691	6.232	0.964
F7f	581.417	0.102	0.996	533	0.609	5.518	0.898
F11f	802.413	0.032	0.995	738	0.705	6.716	0.968
F14f	597.116	0.022	0.997	573	0.735	6.735	0.978
A3f	656.389	0.033	0.997	630	0.711	6.615	0.967
A6f	577.211	0.066	0.997	536	0.635	5.758	0.934
A10f	519.554	0.043	0.997	470	0.679	6.027	0.957
A15f	528.231	0.031	0.997	490	0.715	6.393	0.969
B3f	558.836	0.100	0.996	503	0.600	5.383	0.900
B6f	487.616	0.077	0.997	460	0.633	5.601	0.923
B10f	565.135	0.044	0.997	538	0.676	6.133	0.956
B15f	446.709	0.112	0.997	421	0.545	4.751	0.888
C3f	410.750	0.035	0.999	407	0.721	6.253	0.965
C6f	275.000	0.127	0.999	269	0.569	4.593	0.873
C10f	334.000	0.134	0.998	313	0.572	4.740	0.866
C15f	393.375	0.031	0.999	392	0.722	6.218	0.969
D3f	435.036	0.035	0.999	415	0.715	6.221	0.965
D6f	365.800	0.061	0.999	362	0.663	5.639	0.939
D10f	326.000	0.036	1.000	326	0.720	6.009	0.964
D15f	558.092	0.033	0.998	540	0.718	6.516	0.967
E3f	512.000	0.030	0.998	493	0.734	6.566	0.970
E6f	508.922	0.070	0.998	489	0.636	5.683	0.930
E10f	412.800	0.043	0.999	405	0.677	5.866	0.957
E15f	574.800	0.043	0.996	525	0.654	5.913	0.957
F3f	570.879	0.031	0.998	550	0.716	6.515	0.969
F6f	473.776	0.053	0.998	459	0.669	5.915	0.947
F10f	486.255	0.053	0.999	477	0.666	5.927	0.947
F15f	566.500	0.033	0.997	528	0.692	6.263	0.967
A1f	562.632	0.036	0.997	529	0.695	6.289	0.964
A8f	475.647	0.041	0.997	446	0.677	5.960	0.959
A9f	511.111	0.068	0.996	445	0.639	5.626	0.932
A16f	400.278	0.024	0.999	395	0.743	6.409	0.976
B1f	562.797	0.058	0.998	544	0.674	6.127	0.942
B8f	649.380	0.052	0.995	568	0.654	5.982	0.948
B9f	466.735	0.051	0.998	433	0.674	5.899	0.949
B16f	600.816	0.030	0.997	576	0.708	6.493	0.970
C1f	538.137	0.041	0.997	497	0.685	6.137	0.959
C8f	533.471	0.027	0.998	522	0.724	6.541	0.973
C9f	422.886	0.054	0.999	413	0.669	5.812	0.946
C16f	509.586	0.025	0.997	478	0.722	6.431	0.975
D1f	540.776	0.039	0.997	497	0.699	6.264	0.961
D8f	560.091	0.037	0.998	540	0.695	6.309	0.963
D9f	388.636	0.029	1.000	387	0.747	6.422	0.971
D16f	496.803	0.044	0.998	482	0.687	6.119	0.956
E1f	619.893	0.023	0.997	569	0.744	6.808	0.977
E8f	408.727	0.052	0.998	391	0.662	5.698	0.948
E9f	515.305	0.037	0.998	500	0.712	6.381	0.963
E16f	359.133	0.062	0.999	353	0.653	5.526	0.938
F1f	463.000	0.027	0.999	460	0.762	6.736	0.973
F8f	450.738	0.030	0.998	425	0.713	6.226	0.970
F9f	376.810	0.052	0.999	365	0.655	5.575	0.948
F16f	551.833	0.025	0.997	528	0.716	6.473	0.975
A4f	535.346	0.028	0.997	512	0.697	6.274	0.972
A5f	614.289	0.029	0.996	573	0.703	6.441	0.971
A12f	450.915	0.057	0.998	430	0.670	5.862	0.943
A13f	528.942	0.047	0.996	457	0.676	5.975	0.953
