Sample_Name	chao1	dominance	goods_coverage	observed_features	pielou_e	shannon	simpson
G1f	429.600	0.201	0.997	387	0.520	4.473	0.799
G2f	499.145	0.034	0.997	469	0.687	6.092	0.966
G3f	597.879	0.022	0.997	550	0.721	6.559	0.978
G4f	484.468	0.030	0.998	463	0.686	6.075	0.970
G5f	524.813	0.030	0.998	502	0.696	6.249	0.970
G6f	532.197	0.088	0.996	468	0.608	5.392	0.912
G7f	538.038	0.032	0.998	519	0.700	6.317	0.968
G8f	550.938	0.036	0.998	526	0.691	6.247	0.964
G9f	432.359	0.081	0.998	410	0.606	5.263	0.919
G10f	478.667	0.076	0.997	444	0.612	5.383	0.924
G11f	495.163	0.034	0.997	439	0.689	6.050	0.966
G12f	434.750	0.063	0.998	410	0.656	5.696	0.937
G13f	403.607	0.103	0.998	372	0.606	5.176	0.897
G14f	437.862	0.061	0.997	402	0.653	5.649	0.939
G15f	727.318	0.025	0.994	623	0.705	6.549	0.975
G16f	451.603	0.046	0.998	426	0.672	5.872	0.954
H1f	538.809	0.027	0.997	511	0.716	6.446	0.973
H2f	414.519	0.039	0.999	407	0.679	5.882	0.961
H3f	459.467	0.032	0.999	447	0.717	6.311	0.968
H4f	450.429	0.032	0.998	434	0.692	6.064	0.968
H5f	569.721	0.036	0.997	523	0.682	6.158	0.964
H6f	543.266	0.059	0.997	510	0.651	5.854	0.941
H7f	614.812	0.043	0.996	555	0.678	6.184	0.957
H8f	509.109	0.034	0.998	478	0.695	6.188	0.966
H9f	480.386	0.064	0.997	436	0.656	5.748	0.936
H10f	573.697	0.067	0.996	521	0.643	5.804	0.933
H11f	582.016	0.033	0.996	524	0.687	6.204	0.967
H12f	396.781	0.053	0.999	392	0.688	5.925	0.947
H13f	440.808	0.044	0.997	397	0.667	5.758	0.956
H14f	569.739	0.033	0.997	518	0.685	6.175	0.967
H15f	457.479	0.076	0.998	435	0.628	5.502	0.924
H16f	489.892	0.030	0.998	474	0.698	6.205	0.970
