"","label_micro","plot","sample_prokariota","sample_fungi","treatment","date","day","month","year","date_label","date_label_noyear","sampling"
"1","A",1,"A1b","A1f","w",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"2","A",6,"A6b","A6f","p",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"3","A",16,"A16b","A16f","w",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"4","A",2,"A2b","A2f","c",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"5","A",11,"A11b","A11f","c",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"6","A",8,"A8b","A8f","w",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"7","A",15,"A15b","A15f","p",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"8","A",13,"A13b","A13f","wp",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"9","A",14,"A14b","A14f","c",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"10","A",7,"A7b","A7f","c",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"11","A",12,"A12b","A12f","wp",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"12","A",10,"A10b","A10f","p",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"13","A",3,"A3b","A3f","p",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"14","A",4,"A4b","A4f","wp",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"15","A",5,"A5b","A5f","wp",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"16","A",9,"A9b","A9f","w",2023-05-04,4,"May",2023,"04-May-23","May 04",1
"17","B",12,"B12b","B12f","wp",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"18","B",9,"B9b","B9f","w",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"19","B",1,"B1b","B1f","w",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"20","B",6,"B6b","B6f","p",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"21","B",5,"B5b","B5f","wp",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"22","B",8,"B8b","B8f","w",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"23","B",4,"B4b","B4f","wp",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"24","B",13,"B13b","B13f","wp",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"25","B",11,"B11b","B11f","c",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"26","B",3,"B3b","B3f","p",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"27","B",2,"B2b","B2f","c",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"28","B",7,"B7b","B7f","c",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"29","B",10,"B10b","B10f","p",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"30","B",16,"B16b","B16f","w",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"31","B",15,"B15b","B15f","p",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"32","B",14,"B14b","B14f","c",2023-06-14,14,"Jun",2023,"14-Jun-23","Jun 14",2
"33","C",10,"C10b","C10f","p",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"34","C",8,"C8b","C8f","w",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"35","C",6,"C6b","C6f","p",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"36","C",16,"C16b","C16f","w",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"37","C",2,"C2b","C2f","c",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"38","C",14,"C14b","C14f","c",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"39","C",5,"C5b","C5f","wp",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"40","C",4,"C4b","C4f","wp",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"41","C",11,"C11b","C11f","c",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"42","C",15,"C15b","C15f","p",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"43","C",1,"C1b","C1f","w",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"44","C",13,"C13b","C13f","wp",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"45","C",3,"C3b","C3f","p",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"46","C",12,"C12b","C12f","wp",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"47","C",7,"C7b","C7f","c",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"48","C",9,"C9b","C9f","w",2023-07-11,11,"Jul",2023,"11-Jul-23","Jul 11",3
"49","D",9,"D9b","D9f","w",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"50","D",12,"D12b","D12f","wp",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"51","D",13,"D13b","D13f","wp",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"52","D",5,"D5b","D5f","wp",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"53","D",1,"D1b","D1f","w",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"54","D",15,"D15b","D15f","p",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"55","D",16,"D16b","D16f","w",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"56","D",3,"D3b","D3f","p",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"57","D",7,"D7b","D7f","c",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"58","D",4,"D4b","D4f","wp",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"59","D",6,"D6b","D6f","p",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"60","D",10,"D10b","D10f","p",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
"61","D",2,"D2b","D2f","c",2023-09-04,4,"Sep",2023,"04-Sep-23","Sep 04",4
