"sampling","date","date_EGM","date_label_noyear","treatment","plot","time","label_micro","SRL_rate","SRQ_rate"
0,2023-05-04,"05/05/23","May 04","c",2,09:50:47,"A",0.3414,0.3376
0,2023-05-04,"05/05/23","May 04","c",7,10:07:24,"A",0.4576,0.4612
0,2023-05-04,"05/05/23","May 04","c",11,10:22:51,"A",0.4646,0.4675
0,2023-05-04,"05/05/23","May 04","c",14,10:34:28,"A",0.4706,0.4901
0,2023-05-04,"05/05/23","May 04","p",3,09:53:16,"A",0.3819,0.4619
0,2023-05-04,"05/05/23","May 04","p",6,10:04:41,"A",0.4304,0.4223
0,2023-05-04,"05/05/23","May 04","p",10,10:19:46,"A",0.3437,0.316
0,2023-05-04,"05/05/23","May 04","p",15,10:38:37,"A",0.356,0.4051
0,2023-05-04,"05/05/23","May 04","w",1,09:48:26,"A",0.5205,0.5502
0,2023-05-04,"05/05/23","May 04","w",8,10:13:09,"A",0.7156,0.8067
0,2023-05-04,"05/05/23","May 04","w",9,10:16:32,"A",0.4964,0.626
0,2023-05-04,"05/05/23","May 04","w",16,10:42:01,"A",0.4765,0.4887
0,2023-05-04,"05/05/23","May 04","wp",4,09:55:37,"A",0.4919,0.464
0,2023-05-04,"05/05/23","May 04","wp",5,10:02:13,"A",0.494,0.5272
0,2023-05-04,"05/05/23","May 04","wp",12,10:26:33,"A",0.5537,0.6584
0,2023-05-04,"05/05/23","May 04","wp",13,10:30:46,"A",0.4215,0.4449
2,2023-06-14,"01/06/23","Jun 14","c",2,11:55:27,"B",0.2169,0.2449
2,2023-06-14,"01/06/23","Jun 14","c",7,12:10:43,"B",0.3581,0.2761
2,2023-06-14,"01/06/23","Jun 14","c",11,12:22:24,"B",0.4488,0.4447
2,2023-06-14,"01/06/23","Jun 14","c",14,12:31:38,"B",0.4079,0.4533
2,2023-06-14,"01/06/23","Jun 14","p",3,11:57:32,"B",0.1934,0.1713
2,2023-06-14,"01/06/23","Jun 14","p",6,12:08:27,"B",0.3258,0.3466
2,2023-06-14,"01/06/23","Jun 14","p",10,12:19:37,"B",0.3016,0.274
2,2023-06-14,"01/06/23","Jun 14","p",15,12:36:13,"B",0.1553,-0.0224
2,2023-06-14,"01/06/23","Jun 14","w",1,11:53:23,"B",0.3236,0.2939
2,2023-06-14,"01/06/23","Jun 14","w",8,12:13:40,"B",0.5574,0.4733
2,2023-06-14,"01/06/23","Jun 14","w",9,12:17:19,"B",0.4277,0.4439
2,2023-06-14,"01/06/23","Jun 14","w",16,12:39:59,"B",0.2308,0.1859
2,2023-06-14,"01/06/23","Jun 14","wp",4,12:00:02,"B",0.232,0.2464
2,2023-06-14,"01/06/23","Jun 14","wp",5,12:06:01,"B",0.2169,0.2175
